Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-02-07 00:00:00-05:00,34.7400016784668,35.58000183105469,34.584999084472656,35.43000030517578,916800,0.0,0.0
2023-02-08 00:00:00-05:00,35.220001220703125,35.470001220703125,34.93000030517578,35.11000061035156,920000,0.0,0.0
2023-02-09 00:00:00-05:00,34.70000076293945,34.75,32.9900016784668,33.119998931884766,2444900,0.0,0.0
2023-02-10 00:00:00-05:00,33.06999969482422,33.70000076293945,33.040000915527344,33.56999969482422,872300,0.0,0.0
2023-02-13 00:00:00-05:00,33.56999969482422,34.32500076293945,33.36000061035156,34.2400016784668,667500,0.0,0.0
2023-02-14 00:00:00-05:00,34.08000183105469,34.779998779296875,33.93000030517578,34.75,699800,0.0,0.0
2023-02-15 00:00:00-05:00,34.34000015258789,34.91999816894531,34.2599983215332,34.779998779296875,756100,0.0,0.0
2023-02-16 00:00:00-05:00,34.33000183105469,34.97999954223633,34.13999938964844,34.58000183105469,799200,0.0,0.0
2023-02-17 00:00:00-05:00,34.45000076293945,35.0,34.22999954223633,34.689998626708984,1788000,0.0,0.0
2023-02-21 00:00:00-05:00,34.20000076293945,34.31999969482422,32.5,32.65999984741211,2489700,0.0,0.0
2023-02-22 00:00:00-05:00,32.97999954223633,34.02000045776367,32.220001220703125,33.59000015258789,2411800,0.0,0.0
2023-02-23 00:00:00-05:00,34.18000030517578,34.70000076293945,33.81800079345703,34.369998931884766,1229600,0.0,0.0
2023-02-24 00:00:00-05:00,33.91999816894531,34.709999084472656,33.65999984741211,34.65999984741211,1980600,0.0,0.0
2023-02-27 00:00:00-05:00,34.86000061035156,35.06999969482422,34.415000915527344,34.47999954223633,1089900,0.0,0.0
2023-02-28 00:00:00-05:00,34.459999084472656,34.810001373291016,34.18000030517578,34.75,1789800,0.0,0.0
2023-03-01 00:00:00-05:00,34.619998931884766,35.06999969482422,34.380001068115234,34.779998779296875,795600,0.0,0.0
2023-03-02 00:00:00-05:00,34.61000061035156,35.290000915527344,34.349998474121094,35.220001220703125,611400,0.0,0.0
2023-03-03 00:00:00-05:00,35.529998779296875,35.584999084472656,35.0099983215332,35.439998626708984,689500,0.0,0.0
2023-03-06 00:00:00-05:00,35.33000183105469,35.439998626708984,34.77899932861328,34.86000061035156,1238300,0.0,0.0
2023-03-07 00:00:00-05:00,34.7400016784668,34.970001220703125,34.0,34.02000045776367,1007000,0.0,0.0
2023-03-08 00:00:00-05:00,34.0,34.029998779296875,33.32500076293945,33.41999816894531,1109500,0.0,0.0
2023-03-09 00:00:00-05:00,33.4900016784668,33.5099983215332,32.54999923706055,32.56999969482422,857600,0.0,0.0
2023-03-10 00:00:00-05:00,32.4900016784668,32.4900016784668,31.850000381469727,32.09000015258789,1976800,0.0,0.0
2023-03-13 00:00:00-04:00,31.56999969482422,31.959999084472656,30.59000015258789,31.170000076293945,1502500,0.0,0.0
2023-03-14 00:00:00-04:00,35.04999923706055,35.18000030517578,34.900001525878906,34.90999984741211,17566500,0.0,0.0
2023-03-15 00:00:00-04:00,34.869998931884766,35.0,34.67499923706055,34.70000076293945,23623800,0.0,0.0
2023-03-16 00:00:00-04:00,34.61000061035156,34.77000045776367,34.529998779296875,34.66999816894531,11584300,0.0,0.0
2023-03-17 00:00:00-04:00,34.61000061035156,34.88999938964844,34.58000183105469,34.68000030517578,9557600,0.0,0.0
2023-03-20 00:00:00-04:00,34.650001525878906,34.744998931884766,34.61000061035156,34.630001068115234,7183000,0.0,0.0
2023-03-21 00:00:00-04:00,34.66999816894531,34.70000076293945,34.53499984741211,34.66999816894531,7672500,0.0,0.0
2023-03-22 00:00:00-04:00,34.619998931884766,34.70000076293945,34.58000183105469,34.599998474121094,5990400,0.0,0.0
2023-03-23 00:00:00-04:00,34.61000061035156,34.66999816894531,34.5099983215332,34.599998474121094,3337900,0.0,0.0
2023-03-24 00:00:00-04:00,34.59000015258789,34.66999816894531,34.560001373291016,34.650001525878906,4563100,0.0,0.0
2023-03-27 00:00:00-04:00,34.68000030517578,34.849998474121094,34.650001525878906,34.790000915527344,3327600,0.0,0.0
2023-03-28 00:00:00-04:00,34.81999969482422,34.9900016784668,34.790000915527344,34.959999084472656,2209000,0.0,0.0
2023-03-29 00:00:00-04:00,35.02000045776367,35.2400016784668,34.92499923706055,34.93000030517578,4849900,0.0,0.0
2023-03-30 00:00:00-04:00,35.0,35.04999923706055,34.90999984741211,34.90999984741211,2805200,0.0,0.0
2023-03-31 00:00:00-04:00,35.06999969482422,35.11000061035156,34.98500061035156,35.029998779296875,3720300,0.0,0.0
2023-04-03 00:00:00-04:00,35.08000183105469,35.11000061035156,34.90999984741211,34.959999084472656,3459100,0.0,0.0
2023-04-04 00:00:00-04:00,34.95000076293945,35.15999984741211,34.95000076293945,35.150001525878906,2647900,0.0,0.0
2023-04-05 00:00:00-04:00,35.099998474121094,35.20000076293945,34.939998626708984,35.099998474121094,7208900,0.0,0.0
2023-04-06 00:00:00-04:00,35.04999923706055,35.11000061035156,34.970001220703125,35.099998474121094,1857800,0.0,0.0
