Date,Open,High,Low,Close,Adj Close,Volume
2022-04-04,178.190002,178.190002,175.520004,176.470001,171.820190,6860600
2022-04-05,176.470001,179.649994,176.289993,177.610001,172.930145,7446100
2022-04-06,179.389999,182.600006,178.619995,182.229996,177.428421,10330900
2022-04-07,181.669998,182.949997,180.229996,181.759995,176.970779,7385200
2022-04-08,181.330002,183.190002,180.429993,182.119995,177.321320,7144500
2022-04-11,183.000000,184.199997,179.600006,179.839996,175.101395,5932000
2022-04-12,179.199997,180.809998,178.199997,179.899994,175.159805,5957500
2022-04-13,179.899994,180.839996,179.240005,180.660004,175.899780,5643100
2022-04-14,180.000000,181.399994,179.729996,179.899994,175.159805,6188200
2022-04-18,179.729996,180.389999,176.740005,177.660004,172.978836,6318700
2022-04-19,180.720001,185.940002,179.949997,183.080002,178.256012,14380800
2022-04-20,182.240005,184.320007,181.899994,183.889999,179.044662,8044900
2022-04-21,183.929993,184.869995,182.559998,183.360001,178.528625,6969200
2022-04-22,182.470001,183.149994,181.380005,181.539993,176.756577,8003600
2022-04-25,182.339996,186.690002,182.100006,186.009995,181.108826,11176500
2022-04-26,185.100006,186.570007,184.179993,184.679993,179.813843,10190000
2022-04-27,184.240005,184.820007,181.740005,182.100006,177.301849,11090100
2022-04-28,182.250000,184.500000,181.919998,183.460007,178.626007,9403900
2022-04-29,182.500000,182.550003,180.199997,180.460007,175.705048,8463100
2022-05-02,180.470001,181.410004,177.029999,178.639999,173.933014,7145400
2022-05-03,178.800003,180.630005,177.679993,178.289993,173.592224,5898700
2022-05-04,178.149994,180.500000,177.149994,180.199997,175.451904,5923000
2022-05-05,179.419998,179.710007,175.270004,176.759995,172.102539,7089200
2022-05-06,175.139999,176.869995,174.690002,176.369995,171.722809,6434000
2022-05-09,175.449997,178.559998,174.589996,177.330002,172.657532,7855200
2022-05-10,178.229996,179.179993,176.500000,177.089996,172.423843,8186700
2022-05-11,175.960007,178.320007,175.880005,176.130005,171.489151,6138900
2022-05-12,176.470001,177.949997,174.710007,177.869995,173.183289,6898600
2022-05-13,178.699997,178.889999,175.800003,176.850006,172.190186,7732200
2022-05-16,176.850006,179.130005,176.169998,178.080002,173.387756,5516700
2022-05-17,178.720001,179.699997,176.589996,178.820007,174.108276,5751100
