Date,Open,High,Low,Close,Adj Close,Volume
2022-04-04,83.000000,86.199997,81.199997,84.650002,84.650002,480491
2022-04-05,85.699997,88.400002,84.199997,85.750000,85.750000,308584
2022-04-06,85.599998,90.900002,84.800003,87.500000,87.500000,384137
2022-04-07,88.199997,94.800003,88.150002,89.900002,89.900002,684321
2022-04-08,91.250000,91.599998,87.650002,88.550003,88.550003,256559
2022-04-11,89.099998,94.250000,88.550003,93.250000,93.250000,531579
2022-04-12,93.699997,93.800003,88.000000,90.300003,90.300003,254317
2022-04-13,90.699997,92.400002,89.250000,89.500000,89.500000,175093
2022-04-18,89.000000,89.699997,86.199997,86.500000,86.500000,188620
2022-04-19,87.000000,94.500000,87.000000,89.650002,89.650002,457614
2022-04-20,90.500000,91.599998,85.000000,85.699997,85.699997,273530
2022-04-21,86.599998,90.000000,86.400002,88.599998,88.599998,167410
2022-04-22,88.000000,93.050003,87.599998,88.750000,88.750000,319582
2022-04-25,88.000000,90.199997,85.949997,86.400002,86.400002,232270
2022-04-26,87.750000,89.199997,87.000000,87.150002,87.150002,221052
2022-04-27,87.000000,87.000000,84.000000,85.050003,85.050003,137362
2022-04-28,86.099998,86.300003,82.400002,83.000000,83.000000,100566
2022-04-29,83.300003,85.500000,80.099998,81.000000,81.000000,130365
2022-05-02,80.150002,84.199997,79.449997,83.050003,83.050003,180184
2022-05-04,84.699997,84.699997,77.550003,79.900002,79.900002,207894
2022-05-05,81.199997,94.300003,80.599998,91.699997,91.699997,2089159
2022-05-06,88.949997,92.849998,85.599998,91.099998,91.099998,859008
2022-05-09,89.599998,91.000000,83.400002,87.300003,87.300003,572226
2022-05-10,87.000000,90.300003,83.050003,83.550003,83.550003,489557
2022-05-11,84.199997,84.699997,79.000000,80.400002,80.400002,298548
2022-05-12,79.349998,83.400002,77.150002,78.099998,78.099998,320962
2022-05-13,79.300003,83.699997,79.099998,79.550003,79.550003,195771
2022-05-16,80.000000,85.900002,79.650002,81.650002,81.650002,434799
2022-05-17,81.750000,86.900002,81.349998,84.300003,84.300003,364019
