Date,Open,High,Low,Close,Adj Close,Volume
2022-04-04,76.900002,78.180000,76.510002,77.669998,77.074059,24305700
2022-04-05,76.709999,78.019997,74.300003,74.610001,74.037537,21171400
2022-04-06,73.180000,74.889999,71.470001,73.779999,73.213905,28080100
2022-04-07,73.669998,74.680000,72.129997,73.279999,72.717735,22658600
2022-04-08,72.500000,72.849998,70.830002,72.139999,71.684311,20562600
2022-04-11,70.550003,72.910004,70.089996,72.029999,71.574997,21127900
2022-04-12,72.790001,73.589996,71.570000,71.959999,71.505440,18658500
2022-04-13,72.360001,73.750000,71.860001,72.379997,71.922791,18892000
2022-04-14,72.559998,72.809998,70.089996,70.129997,69.687004,18543500
2022-04-18,70.250000,72.099998,70.050003,71.150002,70.700569,17476700
2022-04-19,70.959999,73.410004,70.769997,72.730003,72.270592,15139000
2022-04-20,73.809998,76.230003,72.889999,73.199997,72.737610,19042600
2022-04-21,73.970001,74.489998,70.650002,70.919998,70.472008,17645300
2022-04-22,70.639999,70.980003,69.309998,69.410004,68.971565,18682400
2022-04-25,68.419998,70.169998,67.930000,70.120003,69.677071,20072100
2022-04-26,68.690002,69.160004,67.040001,67.080002,66.656273,18628700
2022-04-27,66.129997,68.480003,65.860001,66.470001,66.050125,17123600
2022-04-28,67.650002,70.809998,67.059998,70.180000,69.736694,21058400
2022-04-29,69.099998,71.330002,68.019997,68.190002,67.759270,16843500
2022-05-02,68.160004,70.739998,67.580002,70.599998,70.154037,15342800
2022-05-03,70.470001,71.959999,70.199997,71.260002,70.809868,13539100
2022-05-04,71.769997,73.900002,70.160004,73.620003,73.154961,17201900
2022-05-05,72.309998,72.559998,70.360001,71.290001,70.839676,16603600
2022-05-06,70.550003,71.910004,68.889999,70.349998,69.905617,15159800
2022-05-09,69.199997,71.400002,67.480003,67.930000,67.500900,21770900
2022-05-10,69.570000,70.589996,67.610001,68.910004,68.474716,17662700
2022-05-11,68.660004,70.879997,66.820000,66.959999,66.537025,17237300
2022-05-12,66.000000,68.900002,65.870003,67.709999,67.282288,27022900
2022-05-13,69.099998,72.629997,68.019997,71.919998,71.465691,22872000
2022-05-16,71.510002,72.040001,70.320000,70.470001,70.024857,13394700
2022-05-17,72.250000,74.730003,72.150002,74.480003,74.009537,17671500
2022-05-18,73.180000,74.220001,70.089996,71.050003,70.601189,20635100
2022-05-19,70.760002,71.699997,69.050003,69.400002,68.961617,17558000
2022-05-20,70.599998,70.690002,66.110001,68.900002,68.464783,20313300
2022-05-23,68.769997,70.199997,68.519997,69.589996,69.150414,12356200
2022-05-24,68.360001,68.410004,66.010002,66.620003,66.199181,18764500
2022-05-25,65.930000,68.849998,65.900002,67.870003,67.441284,16241200
2022-05-26,66.389999,71.040001,66.349998,70.599998,70.154037,14902500
2022-05-27,71.760002,73.440002,71.639999,73.320000,72.856850,13078700
2022-05-31,73.470001,74.480003,71.930000,73.839996,73.373566,15453000
2022-06-01,74.500000,75.389999,72.550003,73.550003,73.085403,13595400
