timestamp,open,high,low,close,volume
2023-03-31 19:45:00,131.0000,131.0000,131.0000,131.0000,100
2023-03-31 19:05:00,131.0000,131.0000,131.0000,131.0000,137
2023-03-31 17:50:00,130.8800,130.8800,130.8800,130.8800,1237
2023-03-31 17:35:00,131.0500,131.0500,131.0500,131.0500,241
2023-03-31 17:25:00,131.1299,131.1299,131.1299,131.1299,150
2023-03-31 17:00:00,131.1300,131.1300,131.0900,131.0900,1137
2023-03-31 16:55:00,131.0000,131.0000,131.0000,131.0000,100
2023-03-31 16:50:00,131.0000,131.0000,131.0000,131.0000,1407
2023-03-31 16:40:00,130.9000,130.9000,130.9000,130.9000,200
2023-03-31 16:30:00,131.0927,131.0927,131.0927,131.0927,100
2023-03-31 16:25:00,131.1999,131.1999,131.1999,131.1999,152
2023-03-31 16:20:00,131.0900,131.0900,131.0900,131.0900,83020
2023-03-31 16:15:00,131.0900,131.0900,131.0900,131.0900,3215
2023-03-31 16:10:00,131.0900,131.0900,131.0900,131.0900,42191
2023-03-31 16:05:00,131.0900,131.0900,131.0900,131.0900,168412
2023-03-31 16:00:00,130.8800,131.2300,130.8650,131.0700,529132
2023-03-31 15:55:00,130.7500,131.0000,130.7200,130.8800,253146
2023-03-31 15:50:00,130.8300,130.8600,130.6932,130.7450,123824
2023-03-31 15:45:00,130.8220,130.8700,130.7800,130.8300,58226
2023-03-31 15:40:00,130.9400,130.9500,130.7900,130.8300,67540
2023-03-31 15:35:00,131.0700,131.1000,130.9200,130.9550,67137
2023-03-31 15:30:00,130.9700,131.0900,130.9500,131.0500,71532
2023-03-31 15:25:00,130.8100,130.9750,130.7900,130.9750,55429
2023-03-31 15:20:00,130.7100,130.8150,130.7000,130.8100,45081
2023-03-31 15:15:00,130.5900,130.7400,130.5900,130.7100,38952
2023-03-31 15:10:00,130.6600,130.6600,130.5000,130.5960,51617
2023-03-31 15:05:00,130.4600,130.7000,130.4500,130.6600,48650
2023-03-31 15:00:00,130.5800,130.5808,130.4350,130.4500,40008
2023-03-31 14:55:00,130.5150,130.6100,130.4900,130.5800,24428
2023-03-31 14:50:00,130.4500,130.5222,130.4500,130.5100,25051
2023-03-31 14:45:00,130.4200,130.4900,130.4000,130.4700,26964
2023-03-31 14:40:00,130.4900,130.5050,130.4200,130.4200,25335
2023-03-31 14:35:00,130.4800,130.5000,130.4100,130.4900,22238
2023-03-31 14:30:00,130.4600,130.4800,130.4350,130.4800,23490
2023-03-31 14:25:00,130.4800,130.5300,130.4600,130.4660,18682
2023-03-31 14:20:00,130.4700,130.5350,130.4500,130.4800,23565
2023-03-31 14:15:00,130.4200,130.4600,130.4000,130.4600,20128
2023-03-31 14:10:00,130.4200,130.4500,130.3800,130.4100,24251
2023-03-31 14:05:00,130.2800,130.4200,130.2700,130.4150,34117
2023-03-31 14:00:00,130.1600,130.2900,130.1400,130.2706,21900
2023-03-31 13:55:00,130.1900,130.2000,130.1400,130.1617,21359
2023-03-31 13:50:00,130.1884,130.2100,130.1700,130.2000,15625
2023-03-31 13:45:00,130.1800,130.2350,130.1600,130.1800,13843
2023-03-31 13:40:00,130.2000,130.2000,130.1300,130.1700,21847
