Date,Open,High,Low,Close,Adj Close,Volume
2022-09-22,23000.000000,23970.000000,22900.000000,23828.250000,22995.300781,7067
2022-09-23,23600.000000,23898.949219,23100.000000,23713.000000,22884.080078,8135
2022-09-26,23240.000000,23939.849609,22620.000000,23743.449219,22913.464844,11820
2022-09-27,23775.000000,23907.800781,23038.050781,23687.699219,22859.664063,3691
2022-09-28,23515.000000,23970.000000,23200.000000,23876.650391,23042.009766,3850
2022-09-29,23996.050781,24225.000000,23280.500000,24086.550781,23244.572266,4076
2022-09-30,23900.000000,24850.000000,23821.900391,24606.300781,23746.154297,5968
2022-10-03,24900.000000,24900.000000,23675.050781,24295.300781,23446.025391,4824
2022-10-04,24400.000000,24960.800781,24344.599609,24792.500000,23925.845703,3383
2022-10-06,24693.000000,25209.000000,24693.000000,25130.699219,24252.222656,3704
2022-10-07,25000.000000,25007.000000,24365.050781,24464.949219,23609.744141,7540
2022-10-10,24305.000000,24595.949219,24154.949219,24517.650391,23660.603516,2048
2022-10-11,24392.000000,24397.949219,23479.349609,23748.099609,22917.953125,7825
2022-10-12,23796.000000,23800.000000,23332.000000,23684.000000,22856.093750,3038
2022-10-13,23552.000000,23588.099609,23330.000000,23384.099609,22566.677734,3090
2022-10-14,23501.050781,23628.449219,22825.750000,23003.449219,22199.332031,1856
2022-10-17,22996.000000,24200.000000,22743.050781,23414.099609,22595.628906,5166
2022-10-18,23515.000000,23840.000000,23410.000000,23683.599609,22855.707031,3461
2022-10-19,23790.000000,23821.300781,23400.000000,23469.699219,22649.285156,1088
2022-10-20,23598.000000,23598.000000,23066.050781,23227.150391,22415.214844,2095
2022-10-21,23343.300781,23490.000000,22865.099609,22954.699219,22152.287109,2805
2022-10-24,23298.699219,23298.699219,23004.000000,23168.199219,22358.324219,268
2022-10-25,23196.000000,23323.000000,22811.000000,22922.099609,22120.826172,1041
2022-10-27,23171.000000,23248.000000,22506.599609,22610.300781,21819.927734,1547
2022-10-28,22610.300781,23100.000000,22580.300781,23040.449219,22235.039063,2830
2022-10-31,23112.000000,23321.000000,22985.000000,23288.300781,22474.226563,4536
2022-11-01,23288.800781,23388.000000,22860.000000,23118.550781,22310.410156,2044
2022-11-02,23234.150391,23950.000000,23190.000000,23408.750000,22590.466797,2781
2022-11-03,23408.750000,23500.000000,23000.000000,23071.500000,22265.005859,1897
2022-11-04,23178.000000,23358.949219,22801.000000,22871.949219,22072.429688,1318
2022-11-07,22986.349609,23172.099609,22291.000000,22400.699219,21617.652344,2778
2022-11-09,22840.000000,24163.800781,22301.000000,23483.949219,22663.037109,27624
2022-11-10,23699.949219,23780.000000,23280.000000,23564.000000,22740.289063,5789
2022-11-11,23950.000000,24100.000000,23577.099609,23680.849609,22853.054688,5242
2022-11-14,23799.000000,24648.000000,23630.199219,24483.699219,23627.837891,7862
2022-11-15,24650.000000,24900.000000,23844.150391,24134.400391,23290.750000,6457
2022-11-16,24150.000000,24238.199219,23856.099609,24014.599609,23175.136719,3514
2022-11-17,24000.000000,24170.949219,23839.750000,24004.750000,23165.632813,2679
2022-11-18,24124.800781,24349.000000,23957.250000,24316.050781,23466.050781,3550
2022-11-21,23970.000000,23970.000000,23311.000000,23738.550781,23738.550781,4007
2022-11-22,23600.000000,23738.449219,23001.000000,23168.150391,23168.150391,2662
2022-11-23,23248.000000,23248.000000,22900.000000,22974.449219,22974.449219,2450
2022-11-24,22998.949219,23200.000000,22900.000000,22929.099609,22929.099609,1485
2022-11-25,22900.000000,23187.949219,22850.000000,22900.800781,22900.800781,7329
2022-11-28,22905.000000,23290.500000,22765.050781,23239.050781,23239.050781,12997
2022-11-29,23239.050781,23465.750000,23066.300781,23399.949219,23399.949219,1970
2022-11-30,23390.000000,23559.849609,23167.000000,23353.500000,23353.500000,1930
2022-12-01,23549.000000,23549.000000,23300.000000,23386.949219,23386.949219,2182
2022-12-02,23210.250000,23383.849609,23000.000000,23149.349609,23149.349609,2258
2022-12-05,23165.000000,23237.349609,22916.599609,23108.349609,23108.349609,1739
2022-12-06,23119.000000,23175.150391,22974.099609,23086.250000,23086.250000,1258
2022-12-07,23149.000000,23349.650391,22851.000000,22996.550781,22996.550781,1918
2022-12-08,23100.000000,23143.400391,22852.000000,22909.449219,22909.449219,771
2022-12-09,23099.000000,23400.000000,22899.949219,23120.300781,23120.300781,2013
2022-12-12,23155.000000,23400.000000,22925.000000,23326.400391,23326.400391,1469
2022-12-13,23388.000000,23388.000000,23130.050781,23279.750000,23279.750000,824
2022-12-14,23348.000000,23350.000000,23161.000000,23268.699219,23268.699219,899
2022-12-15,23200.000000,23399.949219,23200.000000,23331.099609,23331.099609,1020
2022-12-16,23400.000000,23493.750000,22950.000000,23088.500000,23088.500000,2759
2022-12-19,22901.000000,23187.800781,22811.000000,23104.550781,23104.550781,1514
2022-12-20,23240.000000,23240.000000,22860.050781,22917.900391,22917.900391,695
2022-12-21,23139.000000,23229.000000,22750.000000,22873.599609,22873.599609,6291
2022-12-22,22993.000000,22993.000000,22500.000000,22622.500000,22622.500000,4890
2022-12-23,22622.500000,23000.000000,22150.000000,22424.250000,22424.250000,2355
2022-12-26,22255.000000,22717.000000,22150.000000,22386.800781,22386.800781,1406
2022-12-27,22411.000000,22615.750000,22252.949219,22333.050781,22333.050781,1141
2022-12-28,22479.000000,22479.000000,22026.900391,22101.000000,22101.000000,1212
2022-12-29,22190.000000,22190.000000,21951.599609,22017.300781,22017.300781,1490
2022-12-30,22075.050781,22188.949219,21900.000000,21943.099609,21943.099609,760
2023-01-02,22130.000000,22130.000000,21400.000000,21505.699219,21505.699219,4561
2023-01-03,21401.000000,21675.000000,21300.449219,21602.000000,21602.000000,10545
2023-01-04,21800.000000,22150.000000,21602.050781,22050.400391,22050.400391,3162
2023-01-05,22090.000000,22400.000000,22007.050781,22388.000000,22388.000000,3679
2023-01-06,22388.000000,22589.000000,22164.000000,22294.400391,22294.400391,1598
2023-01-09,22375.000000,22843.150391,22375.000000,22762.050781,22762.050781,2102
2023-01-10,22825.000000,22825.000000,22352.000000,22564.150391,22564.150391,2110
2023-01-11,22789.800781,22869.000000,22031.000000,22170.849609,22170.849609,1563
2023-01-12,22371.000000,22532.800781,22085.000000,22335.400391,22335.400391,3091
2023-01-13,22335.400391,22477.900391,22001.849609,22396.599609,22396.599609,2505
2023-01-16,22305.150391,22842.300781,22305.150391,22514.150391,22514.150391,2560
2023-01-17,22514.150391,22700.000000,22410.000000,22611.449219,22611.449219,1914
2023-01-18,22551.050781,22725.000000,22518.050781,22629.500000,22629.500000,2187
2023-01-19,22630.000000,22800.000000,22500.000000,22753.900391,22753.900391,1138
2023-01-20,22753.949219,22798.949219,22619.150391,22707.750000,22707.750000,634
2023-01-23,22707.750000,22795.000000,22529.949219,22756.099609,22756.099609,2928
2023-01-24,22756.099609,22868.949219,22640.500000,22748.550781,22748.550781,849
2023-01-25,22605.000000,22799.900391,22420.300781,22706.599609,22706.599609,845
2023-01-27,22679.949219,22744.250000,22265.250000,22600.500000,22600.500000,1854
2023-01-30,22405.000000,22839.949219,22275.199219,22778.199219,22778.199219,1080
2023-01-31,22645.199219,23685.849609,22400.000000,23329.050781,23329.050781,5519
2023-02-01,23329.050781,23439.150391,22550.000000,22645.449219,22645.449219,2366
2023-02-02,22696.000000,23200.000000,22513.000000,23140.500000,23140.500000,2473
2023-02-03,23149.000000,23149.000000,22842.800781,23033.449219,23033.449219,971
2023-02-06,23100.000000,23189.150391,22500.000000,22612.400391,22612.400391,1316
2023-02-07,22677.949219,23198.000000,22641.199219,22900.050781,22900.050781,1490
2023-02-08,22900.050781,23500.000000,22750.400391,23117.800781,23117.800781,19538
2023-02-09,23250.000000,23994.949219,23250.000000,23528.349609,23528.349609,18960
2023-02-10,23630.000000,23969.000000,23323.000000,23420.349609,23420.349609,2825
2023-02-13,23310.000000,23420.300781,22813.050781,22956.949219,22956.949219,1279
2023-02-14,22999.000000,22999.000000,22251.000000,22376.349609,22376.349609,3087
2023-02-15,22302.000000,22579.949219,21500.000000,21554.000000,21554.000000,48590
2023-02-16,21700.000000,22400.000000,21558.000000,22263.500000,22263.500000,7205
2023-02-17,22200.000000,22356.800781,21951.550781,22177.050781,22177.050781,12667
2023-02-20,22180.000000,22387.449219,21862.599609,22085.050781,22085.050781,4923
2023-02-21,22099.949219,22350.500000,22063.000000,22212.349609,22212.349609,1198
2023-02-22,22348.000000,22348.000000,21700.000000,21809.000000,21809.000000,2414
2023-02-23,21949.949219,22439.949219,21600.000000,22091.150391,22091.150391,88819
2023-02-24,22290.000000,22550.000000,21700.050781,21853.650391,21853.650391,4986
2023-02-27,22000.000000,22265.000000,21650.000000,21944.500000,21944.500000,4044
2023-02-28,22100.000000,23199.000000,21970.650391,22888.849609,22888.849609,11895
2023-03-01,22750.000000,22888.699219,22403.550781,22655.900391,22655.900391,2988
2023-03-02,22748.949219,23360.099609,22689.599609,23315.300781,23315.300781,4282
2023-03-03,23160.000000,23349.949219,23160.000000,23202.800781,23202.800781,2485
2023-03-06,23160.050781,23464.400391,23100.250000,23406.300781,23406.300781,3650
2023-03-08,23498.900391,23888.000000,23248.750000,23627.300781,23627.300781,3726
2023-03-09,23699.000000,23801.000000,23400.000000,23536.199219,23536.199219,2385
2023-03-10,23587.949219,23699.500000,23330.349609,23582.800781,23582.800781,8042
2023-03-13,23582.800781,23707.150391,23301.349609,23540.099609,23540.099609,5496
2023-03-14,23743.750000,23743.750000,22884.849609,23103.150391,23103.150391,2087
2023-03-15,23373.949219,23417.949219,23169.650391,23371.099609,23371.099609,1333
2023-03-16,23500.000000,23500.000000,22851.699219,22982.449219,22982.449219,2827
2023-03-17,23163.099609,23350.000000,22880.000000,22936.349609,22936.349609,1281
2023-03-20,23198.000000,23198.000000,22125.000000,22916.400391,22916.400391,7292
2023-03-21,22996.000000,23198.900391,22602.000000,22733.000000,22733.000000,2017
2023-03-22,22890.000000,22899.849609,22200.000000,22350.750000,22350.750000,1807
2023-03-23,22386.000000,22568.000000,21741.199219,21783.349609,21783.349609,3256
2023-03-24,21900.000000,22527.949219,21730.000000,22323.050781,22323.050781,2615
2023-03-27,22323.050781,22879.750000,22204.599609,22752.599609,22752.599609,3456
2023-03-28,22751.000000,22948.000000,22208.400391,22768.400391,22768.400391,4724
2023-03-29,22650.000000,23250.000000,22589.000000,23095.000000,23095.000000,1977
2023-03-31,23095.949219,23284.400391,22800.000000,22963.849609,22963.849609,2677
2023-04-03,23189.949219,23189.949219,22572.099609,22669.099609,22669.099609,2155
